"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures.Math","paid.Math","absences.Math","G1.Math","G2.Math","G3.Math","failures.Port","paid.Port","absences.Port","G1.Port","G2.Port","G3.Port"
"146","GP","F",18,"R","GT3","T",2,2,"at_home","other","course","mother",2,4,"no","no","yes","yes","yes","no","no",4,4,4,1,1,4,0,"no",0,10,9,0,0,"no",6,14,13,14
"60","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,"yes","no","no","yes","yes","yes","no",2,3,1,1,1,3,0,"no",2,16,16,17,0,"no",0,13,13,14
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,"yes","yes","yes","yes","yes","yes","no",3,1,2,1,1,1,1,"yes",2,7,10,10,0,"yes",4,13,13,13
"362","MS","M",18,"R","LE3","T",1,2,"at_home","services","other","father",3,1,"no","yes","yes","yes","no","yes","yes",4,3,3,2,3,3,0,"yes",3,14,12,12,0,"no",3,9,10,10
"271","GP","M",17,"R","GT3","T",3,4,"at_home","other","course","mother",3,2,"no","no","no","yes","yes","no","no",5,4,5,2,4,5,0,"no",0,10,0,0,0,"no",2,10,9,10
"31","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,"no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,0,"no",0,16,16,15,0,"no",6,13,14,14
"223","GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","no","yes","yes","yes","yes","no",3,5,5,2,5,4,0,"yes",8,18,18,18,0,"no",8,14,14,15
"163","GP","F",18,"U","GT3","T",4,4,"health","health","reputation","father",1,2,"yes","yes","yes","yes","yes","yes","yes",2,4,4,1,1,4,1,"no",15,9,8,8,1,"no",2,14,12,13
"366","MS","M",18,"U","LE3","T",1,3,"at_home","services","course","mother",1,1,"no","no","no","yes","no","yes","yes",4,3,3,2,3,3,1,"no",7,8,7,8,0,"no",0,9,10,9
"63","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,"no","yes","no","yes","yes","no","no",4,3,2,1,2,5,0,"yes",4,6,10,10,0,"no",0,11,13,13
"154","GP","F",18,"U","GT3","T",2,2,"at_home","at_home","other","mother",1,3,"no","yes","no","yes","yes","yes","no",4,3,3,1,2,2,0,"yes",5,18,18,19,0,"no",0,18,18,18
"313","GP","M",18,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,"no","yes","yes","yes","yes","yes","yes",4,3,2,1,4,5,0,"yes",11,12,11,11,0,"no",2,15,16,16
"101","GP","F",17,"R","LE3","T",3,1,"services","other","reputation","mother",2,4,"no","yes","no","yes","yes","no","no",3,1,2,1,1,3,0,"yes",6,18,18,18,0,"no",0,18,19,19
"147","GP","F",18,"R","GT3","T",3,1,"other","other","reputation","mother",1,2,"no","no","yes","yes","yes","yes","yes",5,3,3,1,1,4,1,"no",16,9,8,7,0,"no",4,8,8,8
"321","GP","M",18,"U","LE3","T",2,1,"at_home","other","course","mother",4,2,"yes","yes","yes","yes","yes","yes","yes",4,3,2,4,5,3,0,"yes",14,10,8,9,0,"no",2,9,10,11
"87","GP","F",16,"U","LE3","T",2,4,"other","health","course","father",2,2,"no","yes","yes","yes","yes","yes","yes",4,2,2,1,2,5,0,"yes",2,13,13,13,0,"no",2,14,12,13
"250","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","mother",1,1,"no","yes","no","yes","no","yes","yes",3,3,2,2,1,5,0,"no",0,7,6,0,0,"no",16,9,9,8
"248","GP","M",16,"U","GT3","T",4,4,"services","teacher","other","father",1,3,"no","yes","yes","yes","yes","yes","yes",4,4,3,1,1,4,0,"no",0,16,17,17,0,"no",0,16,16,16
"299","GP","M",17,"U","LE3","T",4,4,"teacher","other","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,4,4,1,3,5,0,"yes",0,13,11,10,0,"no",0,11,9,10
"146.1","GP","F",18,"R","GT3","T",2,2,"at_home","other","course","mother",2,4,"no","no","yes","yes","yes","no","no",4,4,4,1,1,4,0,"no",0,10,9,0,0,"no",6,14,13,14
"365","MS","M",18,"U","LE3","T",1,1,"other","services","home","father",2,1,"no","no","no","no","yes","yes","yes",3,3,2,1,2,3,0,"no",4,10,10,10,0,"no",2,14,13,14
"94","GP","F",17,"R","GT3","T",2,1,"at_home","services","course","mother",3,2,"no","no","yes","yes","yes","no","no",2,1,1,1,1,3,0,"no",2,13,11,11,0,"no",2,13,13,13
"328","GP","M",19,"U","GT3","T",3,2,"services","at_home","home","mother",1,1,"no","yes","no","yes","no","yes","yes",4,5,4,1,1,4,3,"no",0,5,0,0,0,"no",6,11,9,11
"214","GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",1,3,"no","yes","yes","yes","yes","yes","no",5,4,3,1,1,4,0,"no",2,15,16,18,0,"no",0,14,14,14
"93","GP","F",17,"R","GT3","A",3,2,"other","other","home","mother",1,2,"no","yes","no","yes","yes","yes","no",4,3,3,2,3,2,0,"yes",4,9,10,10,0,"no",0,14,14,16
"39","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,"no","yes","yes","no","yes","yes","no",5,3,5,1,1,5,0,"yes",6,10,10,11,0,"no",6,13,13,13
"110","GP","F",17,"U","GT3","T",1,1,"at_home","services","course","mother",1,2,"no","no","yes","yes","yes","yes","no",5,3,3,1,1,3,0,"no",0,8,8,9,0,"no",0,12,11,12
"130","GP","F",17,"U","GT3","T",4,4,"other","teacher","course","mother",1,1,"yes","yes","no","yes","yes","no","yes",4,2,1,1,1,4,0,"no",0,11,11,12,0,"no",0,13,13,13
"95","GP","F",17,"R","GT3","T",2,1,"at_home","services","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,2,5,1,2,5,0,"no",2,6,6,6,0,"no",0,11,10,11
"205","GP","M",15,"U","LE3","A",2,1,"services","other","course","mother",4,1,"no","no","no","yes","yes","yes","no",4,5,5,2,5,5,3,"no",0,8,9,10,0,"no",0,12,11,11
"96","GP","F",17,"R","GT3","T",2,2,"other","other","reputation","mother",1,1,"no","yes","no","yes","yes","yes","no",5,3,2,1,2,3,0,"no",18,7,6,6,0,"no",21,13,13,13
"294","GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,"no","yes","no","no","yes","yes","no",5,3,3,1,3,3,0,"yes",2,12,11,12,0,"no",0,10,11,11
"339","MS","F",17,"U","LE3","T",4,4,"at_home","at_home","course","mother",1,2,"no","yes","yes","yes","yes","yes","yes",2,3,4,1,1,1,0,"yes",0,16,15,15,0,"no",4,15,14,15
"11","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,"no","yes","yes","yes","yes","yes","no",4,3,2,1,1,1,0,"yes",0,14,15,15,0,"no",0,15,14,15
"141","GP","F",17,"U","LE3","T",4,2,"teacher","services","reputation","mother",1,4,"no","yes","yes","yes","yes","yes","no",4,2,3,1,1,4,0,"yes",6,14,12,13,0,"no",2,14,15,17
"18","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,"yes","yes","no","yes","yes","yes","no",5,1,2,1,1,3,0,"yes",8,7,8,8,0,"no",4,10,10,10
